id,title,content,date,type,created_by,created_at,thumbnail
4,Vándortábor,"## Vándortáborok 

*Fedezz fel! Vezess! Inspirálj!*
## 
Nyáron kilencedik alkalommal indulnak útnak az egyhetes vándortáborok, melyekre január 30-tól lehet jelentkezni.
## 
Ennek érdekében szeretnénk felhívni a figyelmét egy kiváló ár-érték arányú táborozási lehetőségre, a Vándortábor Programra, melyekhez kedvező feltételeket kínálunk:
## 
A részvételi díj az utazási költséget kivéve mindent tartalmaz. A táborozók 49 000 forintért kapnak szállást, étkezést és programokat a 7 napos turnusokon.
## 
A csoportvezető pedagógusok a vándortáboros csoportvezetésért bruttó 150 000 forint díjazásban részesülnek. 
## 
A hátrányos helyzetû és a halmozottan hátrányos helyzetű gyerekek 50%-os kedvezménnyel vehetnek részt a táborokban, nekik a részvételi díj 24 500 forint.
## 
A pedagógusok és a kísérők 20 000 forintért végezhetik el a 30 órás akkreditált gyalogos, vízi vagy kerékpáros vándortábor-vezető képzést.
## 
A jelentkezés január 30. (csütörtök) 20:00-kor indul, a felhívás a szervezetek honlapjain érhetõ el:
## 
**[ErdeiVándor](https://www.erdeivandor.hu/jelentkezesi-felhivas/), [BringásVándor](https://www.bringasvandor.hu/bringasvandor/#jelentkezesi-felhivas), [VíziVándor](https://vizivandor.hu/palyazati-kiiras/), [Zarándoktábor](https://zarandoktabor.hu/jelentkezesi-felhivas)**
## 
Bõvebb információért látogasson el a honlapra: https://vandortabor.hu/

Vándotábor bemutató  [ITT](http://www.bakonykuti.hu/Hirdet/Vandortabor2025.pdf)",2025-01-30T11:35:00.000Z,community,agota,2025-01-24T16:37:30.528Z,https://utfs.io/f/26L8Sk7UnuECq2pOFiNJCQ9AGHKREYlXvOxeBMSyhi8IWTnu
7,A földönkívüli élet lehetősége a Naprendszerben és azon túl,"## Talabér Gergely amatőrcsillagász előadása a BAKONYKÚTI KÖZÖSSÉGI HÁZBAN
További információ: https://utfs.io/f/26L8Sk7UnuECCJaSKDoD3h5BTWPtNcop4XHGVmvlbLQxAy71

Mindenkit szeretettel várunk!",2025-03-27T09:57:00.000Z,community,agota,2025-03-06T08:58:13.435Z,https://utfs.io/f/26L8Sk7UnuEC3AgeVtGVEstpDrH4YmojWGN9uMyOIeCwJlKn
8,Március 15. - Ünnepi megemlékezés,"
## 2025.03.15-én szombaton 9 és 11 óra között a Bakonykúti Közösségi Ház kávézóként üzemel.
## 
Ünnepi megemlékezésünkre mindenkit szeretettel várunk!
Bakonykúti Község Önkormányzata 
",2025-03-15T08:00:00.000Z,community,agota,2025-03-06T09:11:33.608Z,https://utfs.io/f/26L8Sk7UnuECM4JateSfVkXvqlZ4gba0UNI8zsDYxnhyrG2d
5,Batyus Farsang Bakonykútiban ,"## Batyus farsang Bakonykútiban idén is! 2025 február 22!

További részletek Bakonykúti Facebook oldalán. 
PDF: https://utfs.io/f/26L8Sk7UnuECiSMwjuCUKNa8DGOI0cYgHqmAjwClyd9ML7sr",2025-02-22T16:00:00.000Z,community,agota,2025-02-07T15:36:30.372Z,https://qh0hg1d52r.ufs.sh/f/26L8Sk7UnuECLskRArKbp6Sh14YX5LERKwtFsGya3UVgiH8Q
9,Könyvjelző márciusban,"## Ahogyan minden hónapban, márciusban is szeretettel várnak a könyvbarátok minden érdeklődőt a bakonykúti könyvklubon, a Könyvjelzőn!
",2025-03-13T16:00:00.000Z,community,agota,2025-03-06T09:39:37.315Z,https://utfs.io/f/26L8Sk7UnuEC1G9RUR789QX6bm0v4B8adyiMJAnfwWCDKkVO
